Country_name,pred_cost_mean,Type_of_cost_merged,sub_Country_name,sub_pred_cost_mean,event_Country_name,event_pred_cost_mean
Argentina,7947.776964,Damage,Argentina,7045.239909,Canada,7099.312765
Australia,23864.03355,Damage,Australia,14632.45677,United States,16.4369052
Austria,468.3358729,Damage,Belize,782.474301,Cambodia,222.7621354
Belize,918.5327009,Damage,Benin,1349.250113,Malaysia,256.4208635
Benin,1349.367594,Damage,Bhutan,658.8765652,Thailand,307.4222659
Bhutan,658.8765652,Damage,Bolivia,1393.907449,Thailand,307.4222659
Bolivia,1642.067573,Damage,Brazil,3274.341009,Vietnam,338.491723
Brazil,4934.215406,Damage,Brunei,732.2287975,Thailand,307.4222659
Brunei,732.2287975,Damage,Cambodia,3836.941598,Belize,136.0583999
Cambodia,4282.465869,Damage,Cameroon,1462.74373,Bolivia,248.1601236
Cameroon,1462.74373,Damage,Canada,46794.6954,Chile,295.8637106
Canada,48317.23429,Damage,Chile,1876.78214,Cuba,314.3417375
Chile,2172.680256,Damage,China,35393.62804,Ecuador,227.0919246
China,36613.55708,Damage,Cuba,1928.735352,Guatemala,215.3455622
Colombia,298.1411102,Damage,Democratic Republic of the Congo,3141.031842,Nicaragua,370.1681713
Cuba,2273.949834,Damage,Ethiopia,2373.289258,Panama,187.1414263
Democratic Republic of the Congo,3141.031842,Damage,Fiji,12.66395834,Paraguay,245.0123196
Denmark,14.50089187,Damage,Germany,643.0181045,Peru,263.0899383
Ecuador,227.0919246,Damage,Ghana,1808.907766,Uruguay,219.9335507
Ethiopia,2373.289258,Damage,Guatemala,1240.354115,United States,416.7734948
Fiji,47.68851316,Damage,India,20479.83466,Brazil,549.5184944
Finland,7.635657331,Damage,Indonesia,5328.142585,Brazil,549.5184944
France,428.332672,Damage,Italy,30.76381703,Colombia,298.1411102
Germany,1282.084346,Damage,Japan,871.0535493,Mexico,503.5174356
Ghana,1836.85052,Damage,Kenya,602.1989424,Malaysia,256.4208635
Guatemala,1455.699677,Damage,Laos,1207.376607,Philippines,280.0671077
Iceland,9.303118722,Damage,Malawi,2598.200308,Thailand,307.4222659
India,21511.20923,Damage,Malaysia,4446.152917,United States,416.7734948
Indonesia,5775.23371,Damage,Mexico,3060.882888,Cambodia,222.7621354
Italy,93.96026451,Damage,Mozambique,2495.606804,Indonesia,447.0911247
Japan,1139.874484,Damage,Myanmar,1559.203657,Peru,263.0899383
Kenya,602.3499254,Damage,Netherlands,54.77047526,Singapore,138.1217039
Laos,1207.376607,Damage,New Zealand,1973.168762,United States,416.7734948
Lithuania,0.819643181,Damage,Nigeria,1868.270481,United States,416.7734948
Malawi,2598.200308,Damage,Norway,1642.211738,Thailand,307.4222659
Malaysia,4958.994644,Damage,Pakistan,53.33025162,Thailand,307.4222659
Malta,1.043049942,Damage,Paraguay,1381.649166,Bhutan,658.8765652
Mexico,3621.263646,Damage,Peru,3097.646412,Brunei,732.2287975
Mozambique,2495.606804,Damage,Philippines,6906.676217,Cambodia,1278.980533
Myanmar,1559.203657,Damage,Portugal,2.312067159,India,2733.557698
Netherlands,96.06719198,Damage,Singapore,2519.958909,India,2733.557698
New Zealand,4128.934811,Damage,Suriname,948.9193665,India,2733.557698
Nicaragua,370.1681713,Damage,Sweden,171.7260777,India,2733.557698
