Country_name,pred_cost_mean,Type_of_cost_merged,sub_Country_name,sub_pred_cost_mean,event_Country_name,event_pred_cost_mean
Argentina,9257.133124,Damage,Argentina,8182.629749,Canada,8167.185907
Australia,27667.08316,Damage,Australia,17030.15074,United States,13.71629948
Austria,515.7798762,Damage,Belize,891.039558,Cambodia,255.9538973
Belize,1045.023904,Damage,Benin,707.9457479,Malaysia,291.9718794
Benin,708.1323809,Damage,Bhutan,917.101613,Thailand,355.2074938
Bhutan,917.101613,Damage,Bolivia,1768.160868,Thailand,355.2074938
Bolivia,2079.627162,Damage,Brazil,3886.570378,Vietnam,322.4743615
Brazil,5841.938086,Damage,Brunei,764.2707143,Thailand,355.2074938
Brunei,764.2707143,Damage,Cambodia,4479.697141,Belize,153.9843463
Cambodia,4991.604935,Damage,Cameroon,1950.621356,Bolivia,311.466294
Cameroon,1950.621356,Damage,Canada,52560.69352,Chile,375.7837192
Canada,54363.88627,Damage,Chile,2449.764545,Cuba,251.085946
Chile,2825.564585,Damage,China,41591.67917,Ecuador,265.4463908
China,42807.96396,Damage,Cuba,1548.185865,Guatemala,264.6160561
Colombia,345.5972959,Damage,Democratic Republic of the Congo,2665.686234,Nicaragua,407.8275164
Cuba,1823.899203,Damage,Ethiopia,3258.937946,Panama,217.5895581
Democratic Republic of the Congo,2665.686234,Damage,Fiji,13.37042152,Paraguay,290.823477
Denmark,15.90495712,Damage,Germany,691.6263905,Peru,325.4147765
Ecuador,265.4463908,Damage,Ghana,928.0657754,Uruguay,246.9365644
Ethiopia,3258.937946,Damage,Guatemala,1536.569208,United States,492.5310918
Fiji,49.44108568,Damage,India,25457.26497,Brazil,648.3393667
Finland,9.188641825,Damage,Indonesia,5849.952968,Brazil,648.3393667
France,625.2786135,Damage,Italy,33.16197392,Colombia,345.5972959
Germany,1469.371579,Damage,Japan,939.4740126,Mexico,628.7180477
Ghana,942.9064075,Damage,Kenya,860.7447308,Malaysia,291.9718794
Guatemala,1801.185264,Damage,Laos,1403.61676,Philippines,325.6357985
Iceland,10.90395136,Damage,Malawi,2653.754364,Thailand,355.2074938
India,26703.12685,Damage,Malaysia,5133.989473,United States,492.5310918
Indonesia,6334.27416,Damage,Mexico,3845.46595,Cambodia,255.9538973
Italy,109.0950047,Damage,Mozambique,3045.239656,Indonesia,484.3211919
Japan,1207.560537,Damage,Myanmar,1887.736535,Peru,325.4147765
Kenya,861.0095228,Damage,Netherlands,67.50053778,Singapore,158.6701341
Laos,1403.61676,Damage,New Zealand,2441.258863,United States,492.5310918
Lithuania,0.864438976,Damage,Nigeria,2689.598135,United States,492.5310918
Malawi,2653.754364,Damage,Norway,2247.325426,Thailand,355.2074938
Malaysia,5717.933231,Damage,Pakistan,66.71587,Thailand,355.2074938
Malta,1.182171055,Damage,Paraguay,1657.494869,Bhutan,917.101613
Mexico,4544.940581,Damage,Peru,3852.453949,Brunei,764.2707143
Mozambique,3045.239656,Damage,Philippines,8088.800838,Cambodia,1493.23238
Myanmar,1887.736535,Damage,Portugal,3.133298877,India,3336.319743
Netherlands,120.8404012,Damage,Singapore,2934.144054,India,3336.319743
New Zealand,5068.945288,Damage,Suriname,1067.43709,India,3336.319743
