Class_code,Species,Type_of_cost_merged,pred_cost_mean
terrinv,Adelges piceae,Damage,7099.312765
terrinv,Adelges tsugae,Management,16.4369052
terrinv,Aedes aegypti,Management,222.7621354
terrinv,Aedes aegypti,Management,256.4208635
terrinv,Aedes aegypti,Management,307.4222659
terrinv,Aedes aegypti,Management,307.4222659
terrinv,Aedes aegypti,Management,338.491723
terrinv,Aedes aegypti,Management,307.4222659
terrinv,Aedes aegypti,Management,136.0583999
terrinv,Aedes aegypti,Management,248.1601236
terrinv,Aedes aegypti,Management,295.8637106
terrinv,Aedes aegypti,Management,314.3417375
terrinv,Aedes aegypti,Management,227.0919246
terrinv,Aedes aegypti,Management,215.3455622
terrinv,Aedes aegypti,Management,370.1681713
terrinv,Aedes aegypti,Management,187.1414263
terrinv,Aedes aegypti,Management,245.0123196
terrinv,Aedes aegypti,Management,263.0899383
terrinv,Aedes aegypti,Management,219.9335507
terrinv,Aedes aegypti,Management,416.7734948
terrinv,Aedes aegypti,Management,549.5184944
terrinv,Aedes aegypti,Management,549.5184944
terrinv,Aedes aegypti,Management,298.1411102
terrinv,Aedes aegypti,Management,503.5174356
terrinv,Aedes aegypti,Management,256.4208635
terrinv,Aedes aegypti,Management,280.0671077
terrinv,Aedes aegypti,Management,307.4222659
terrinv,Aedes aegypti,Management,416.7734948
terrinv,Aedes aegypti,Management,222.7621354
terrinv,Aedes aegypti,Management,447.0911247
terrinv,Aedes aegypti,Management,263.0899383
terrinv,Aedes aegypti,Management,138.1217039
terrinv,Aedes aegypti,Management,416.7734948
terrinv,Aedes aegypti,Management,416.7734948
terrinv,Aedes aegypti,Management,307.4222659
terrinv,Aedes aegypti,Management,307.4222659
terrinv,Aedes aegypti,Damage,658.8765652
terrinv,Aedes aegypti,Damage,732.2287975
terrinv,Aedes aegypti,Damage,1278.980533
terrinv,Aedes aegypti,Damage,2733.557698
terrinv,Aedes aegypti,Damage,2733.557698
terrinv,Aedes aegypti,Damage,2733.557698
terrinv,Aedes aegypti,Damage,2733.557698
terrinv,Aedes aegypti,Damage,2574.834251
terrinv,Aedes aegypti,Damage,2574.834251
terrinv,Aedes aegypti,Damage,1207.376607
terrinv,Aedes aegypti,Damage,1482.050972
terrinv,Aedes aegypti,Damage,1482.050972
terrinv,Aedes aegypti,Damage,1559.203657
terrinv,Aedes aegypti,Damage,1622.521402
terrinv,Aedes aegypti,Damage,1622.521402
terrinv,Aedes aegypti,Damage,839.9863031
terrinv,Aedes aegypti,Damage,839.9863031
terrinv,Aedes aegypti,Damage,839.9863031
terrinv,Aedes aegypti,Damage,1763.50716
terrinv,Aedes aegypti,Damage,1763.50716
terrinv,Aedes aegypti,Damage,1763.50716
terrinv,Aedes aegypti,Damage,1763.50716
terrinv,Aedes aegypti,Damage,809.9023056
terrinv,Aedes aegypti,Damage,1944.79328
terrinv,Aedes aegypti,Damage,1944.79328
terrinv,Aedes aegypti,Damage,782.474301
terrinv,Aedes aegypti,Damage,1393.907449
terrinv,Aedes aegypti,Damage,628.7684694
terrinv,Aedes aegypti,Damage,1712.355414
terrinv,Aedes aegypti,Damage,1240.354115
terrinv,Aedes aegypti,Damage,1381.649166
terrinv,Aedes aegypti,Damage,1498.256913
terrinv,Aedes aegypti,Damage,1498.256913
terrinv,Aedes aegypti,Damage,2383.338161
terrinv,Aedes aegypti,Damage,2383.338161
terrinv,Aedes aegypti,Damage,948.9193665
terrinv,Aedes aegypti,Damage,1250.877013
terrinv,Aedes aegypti,Damage,2733.557698
terrinv,Aedes aegypti,Damage,2383.338161
terrinv,Aedes aegypti,Damage,1482.050972
