Class_code,Species,Type_of_cost_merged,pred_cost_mean,s_Class_code,s_Species,s_Damage,s_manage,s_mixed,s_unspecified,s_pred_cost_mean
Amphibian,Lithobates catesbeianus,Management,0.146854034,terrinv,Aedes aegypti,0,0,0,0,97941.56439
Amphibian,Rhinella marina,Management,47.19998184,terrinv,Anthonomus grandis,0,0,0,0,81415.58936
Amphibian,Xenopus laevis,Management,0.019014146,Mammal,Rattus rattus,0,0,0,0,72780.90667
Bird,Alopochen aegyptiaca,Damage,0.842537338,terrinv,Coptotermes formosanus,0,0,0,0,41426.03498
Bird,Branta canadensis,Damage,1.870343868,terrinv,Bursaphelenchus mucronatus,0,0,0,0,27996.85645
Bird,Branta canadensis,Management,3.046361073,terrinv,Spodoptera frugiperda,0,0,0,0,23829.20934
Bird,Cygnus olor,Damage,0.04223349,terrinv,Haematobia irritans,0,0,0,0,16658.24553
Bird,Cygnus olor,Management,0.783068712,terrinv,Rhipicephalus microplus,0,0,0,0,14762.71988
Bird,Myiopsitta monachus,Management,4.324838094,terrinv,Stomoxys calcitrans,0,0,0,0,12374.60158
Bird,Oxyura jamaicensis,Management,19.39731428,terrinv,Anoplophora glabripennis,0,0,0,0,11756.62095
Bird,Phasianus colchicus,Damage,6.366248284,terrinv,Lymantria dispar,0,0,0,0,9929.493278
Bird,Psittacula krameri,Damage,107.2581895,Freshwater,Dreissena polymorpha,0,0,0,0,9443.27953
Bird,Psittacula krameri,Management,0.324765092,terrinv,Cochliomyia hominivorax,0,0,0,0,9182.226
Fish,Phoxinus phoxinus,Management,0.573741663,terrinv,Hypera postica,0,0,0,0,8178.488545
Fish,Pseudorasbora parva,Management,0.822790294,terrinv,Adelges piceae,0,0,0,0,7099.312765
Fish,Tinca tinca,Management,0.18918163,Mammal,Sus scrofa,0,0,0,0,7087.995478
Freshwater,Corbicula fluminea,Damage,0.481686537,Mammal,Felis catus,0,0,0,0,7015.705305
Freshwater,Dreissena polymorpha,Management,11.15707893,Mammal,Canis lupus,0,0,0,0,6952.629883
Freshwater,Dreissena polymorpha,Mixed,4842.586676,terrinv,Phenacoccus solenopsis,0,0,0,0,6787.435531
Freshwater,Dreissena polymorpha,Unspecified,4589.535775,terrinv,Cydia pomonella,0,0,0,0,3941.659541
Freshwater,Gyrodactylus salaris,Damage,1050.806776,Freshwater,Pomacea canaliculata,0,0,0,0,3826.350583
Freshwater,Limnoperna fortunei,Management,36.75963572,terrinv,Chilo partellus,0,0,0,0,2587.00882
