Class_code,Species,Type_of_cost_merged,pred_cost_mean
terrinv,Adelges piceae,Damage,8167.185907
terrinv,Adelges tsugae,Management,13.71629948
terrinv,Aedes aegypti,Management,255.9538973
terrinv,Aedes aegypti,Management,291.9718794
terrinv,Aedes aegypti,Management,355.2074938
terrinv,Aedes aegypti,Management,355.2074938
terrinv,Aedes aegypti,Management,322.4743615
terrinv,Aedes aegypti,Management,355.2074938
terrinv,Aedes aegypti,Management,153.9843463
terrinv,Aedes aegypti,Management,311.466294
terrinv,Aedes aegypti,Management,375.7837192
terrinv,Aedes aegypti,Management,251.085946
terrinv,Aedes aegypti,Management,265.4463908
terrinv,Aedes aegypti,Management,264.6160561
terrinv,Aedes aegypti,Management,407.8275164
terrinv,Aedes aegypti,Management,217.5895581
terrinv,Aedes aegypti,Management,290.823477
terrinv,Aedes aegypti,Management,325.4147765
terrinv,Aedes aegypti,Management,246.9365644
terrinv,Aedes aegypti,Management,492.5310918
terrinv,Aedes aegypti,Management,648.3393667
terrinv,Aedes aegypti,Management,648.3393667
terrinv,Aedes aegypti,Management,345.5972959
terrinv,Aedes aegypti,Management,628.7180477
terrinv,Aedes aegypti,Management,291.9718794
terrinv,Aedes aegypti,Management,325.6357985
terrinv,Aedes aegypti,Management,355.2074938
terrinv,Aedes aegypti,Management,492.5310918
terrinv,Aedes aegypti,Management,255.9538973
terrinv,Aedes aegypti,Management,484.3211919
terrinv,Aedes aegypti,Management,325.4147765
terrinv,Aedes aegypti,Management,158.6701341
terrinv,Aedes aegypti,Management,492.5310918
terrinv,Aedes aegypti,Management,492.5310918
terrinv,Aedes aegypti,Management,355.2074938
terrinv,Aedes aegypti,Management,355.2074938
terrinv,Aedes aegypti,Damage,917.101613
terrinv,Aedes aegypti,Damage,764.2707143
terrinv,Aedes aegypti,Damage,1493.23238
terrinv,Aedes aegypti,Damage,3336.319743
terrinv,Aedes aegypti,Damage,3336.319743
terrinv,Aedes aegypti,Damage,3336.319743
terrinv,Aedes aegypti,Damage,3336.319743
terrinv,Aedes aegypti,Damage,2829.435085
terrinv,Aedes aegypti,Damage,2829.435085
terrinv,Aedes aegypti,Damage,1403.61676
terrinv,Aedes aegypti,Damage,1711.329824
terrinv,Aedes aegypti,Damage,1711.329824
terrinv,Aedes aegypti,Damage,1887.736535
terrinv,Aedes aegypti,Damage,1910.134508
terrinv,Aedes aegypti,Damage,1910.134508
terrinv,Aedes aegypti,Damage,978.0480182
terrinv,Aedes aegypti,Damage,978.0480182
terrinv,Aedes aegypti,Damage,978.0480182
