Class_code,Species,Type_of_cost_merged,pred_cost_mean,s_Class_code,s_Species,s_Damage,s_manage,s_mixed,s_unspecified,s_pred_cost_mean
Amphibian,Lithobates catesbeianus,Management,0.096868319,terrinv,Aedes aegypti,0,0,0,0,113301.5027
Amphibian,Rhinella marina,Management,47.98085636,terrinv,Anthonomus grandis,0,0,0,0,94231.12183
Amphibian,Xenopus laevis,Management,0.02307698,Mammal,Rattus rattus,0,0,0,0,69300.66062
Bird,Alopochen aegyptiaca,Damage,1.064448078,terrinv,Coptotermes formosanus,0,0,0,0,49347.85136
Bird,Branta canadensis,Damage,2.078104579,terrinv,Bursaphelenchus mucronatus,0,0,0,0,32487.77239
Bird,Branta canadensis,Management,3.367859364,terrinv,Spodoptera frugiperda,0,0,0,0,23675.85069
Bird,Cygnus olor,Damage,0.048038688,terrinv,Haematobia irritans,0,0,0,0,18692.0863
Bird,Cygnus olor,Management,0.886555002,terrinv,Rhipicephalus microplus,0,0,0,0,16286.59909
Bird,Myiopsitta monachus,Management,4.728954206,terrinv,Stomoxys calcitrans,0,0,0,0,13035.9406
Bird,Oxyura jamaicensis,Management,21.49859459,terrinv,Anoplophora glabripennis,0,0,0,0,13454.72894
Bird,Phasianus colchicus,Damage,6.725501455,terrinv,Cochliomyia hominivorax,0,0,0,0,11188.94993
Bird,Psittacula krameri,Damage,133.1519597,terrinv,Lymantria dispar,0,0,0,0,11015.503
Bird,Psittacula krameri,Management,0.376667539,Freshwater,Dreissena polymorpha,0,0,0,0,10643.10396
Fish,Phoxinus phoxinus,Management,0.678241885,terrinv,Phenacoccus solenopsis,0,0,0,0,8735.47128
Fish,Pseudorasbora parva,Management,1.577256726,terrinv,Hypera postica,0,0,0,0,8574.514597
Fish,Tinca tinca,Management,0.225482471,Mammal,Sus scrofa,0,0,0,0,8244.805533
Freshwater,Corbicula fluminea,Damage,0.533186135,Mammal,Felis catus,0,0,0,0,8186.814962
Freshwater,Dreissena polymorpha,Management,13.17281907,terrinv,Adelges piceae,0,0,0,0,8167.185907
Freshwater,Dreissena polymorpha,Mixed,5460.771944,Mammal,Canis lupus,0,0,0,0,7755.200005
Freshwater,Dreissena polymorpha,Unspecified,5169.159195,terrinv,Cydia pomonella,0,0,0,0,5824.454772
Freshwater,Gyrodactylus salaris,Damage,1740.157634,Freshwater,Pomacea canaliculata,0,0,0,0,4460.550084
Freshwater,Limnoperna fortunei,Management,39.75449989,terrinv,Chilo partellus,0,0,0,0,3558.666564
Freshwater,Pacifastacus leniusculus,Damage,0.565357133,Mammal,Oryctolagus cuniculus,0,0,0,0,2526.515767
Freshwater,Pacifastacus leniusculus,Management,6.42355372,Freshwater,Petromyzon marinus,0,0,0,0,1768.435708
Freshwater,Pacifastacus leniusculus,Mixed,6.464877349,Freshwater,Gyrodactylus salaris,0,0,0,0,1740.157634
Freshwater,Petromyzon marinus,Damage,1676.321962,terrinv,Listronotus bonariensis,0,0,0,0,1626.8519
Freshwater,Petromyzon marinus,Management,92.11374585,terrinv,Ceutorhynchus obstrictus,0,0,0,0,1462.548993
Freshwater,Pomacea canaliculata,Damage,4268.531822,terrinv,Agrilus planipennis,0,0,0,0,1382.994139
Freshwater,Pomacea canaliculata,Mixed,192.0182623,terrinv,Paracoccus marginatus,0,0,0,0,1245.861155
Freshwater,Procambarus clarkii,Damage,2.600112742,terrinv,Solenopsis invicta,0,0,0,0,1073.223934
Freshwater,Procambarus clarkii,Management,5.997489223,terrinv,Bactrocera philippinensis,0,0,0,0,1061.226461
Mammal,Callosciurus erythraeus,Damage,3.242112176,terrinv,Aedes camptorhynchus,0,0,0,0,1060.648108
Mammal,Camelus dromedarius,Damage,34.1332878,terrinv,Teia anartoides,0,0,0,0,968.6423231
Mammal,Camelus dromedarius,Management,23.14801716,terrinv,Halotydeus destructor,0,0,0,0,949.9066358
Mammal,Canis lupus,Damage,2680.609513,terrinv,Liriomyza sativae,0,0,0,0,878.3269256
Mammal,Canis lupus,Management,5074.590492,Mammal,Ondatra zibethicus,0,0,0,0,772.8430613
Mammal,Capra hircus,Damage,165.9806806,terrinv,Anopheles darlingi,0,0,0,0,726.521063
Mammal,Capra hircus,Management,45.37012001,terrinv,Nilaparvata lugens,0,0,0,0,652.2697568
Mammal,Castor canadensis,Damage,1.413598685,Mammal,Trichosurus vulpecula,0,0,0,0,546.0672685
Mammal,Equus caballus,Management,1.230214536,terrinv,Frankliniella occidentalis,0,0,0,0,507.1677927
Mammal,Felis catus,Damage,12.94953169,terrinv,Ceratitis capitata,0,0,0,0,467.387093
Mammal,Felis catus,Management,1.288008606,Mammal,Vulpes vulpes,0,0,0,0,441.2673076
Mammal,Felis catus,Mixed,8172.577422,terrinv,Bactrocera tryoni,0,0,0,0,402.5938723
Mammal,Hemitragus jemlahicus,Management,2.934926001,terrinv,Cactoblastis cactorum,0,0,0,0,314.1034814
Mammal,Herpestes javanicus,Damage,1.587012309,terrinv,Sirex noctilio,0,0,0,0,221.4785207
Mammal,Muntiacus reevesi,Damage,1.300100126,Mammal,Neovison vison,0,0,0,0,218.7815408
Mammal,Mus musculus,Damage,42.57561023,Mammal,Capra hircus,0,0,0,0,211.3508006
