countr_name,tot_countr,tot_top,tot_specif,period
Togo,0.099139012,0,0.099139012,current
Cameroon,1462.74373,1462.74373,0,current
Nigeria,1868.270481,1868.270481,0,current
Norway,1683.792454,0,1683.792454,current
Zambia,1239.180086,1239.180086,0,current
Kenya,602.3499254,0,602.3499254,current
Bhutan,658.8765652,658.8765652,0,current
France,428.332672,423.7807188,4.551953219,current
Portugal,2.312067159,0,2.31206716,current
Ethiopia,2373.289258,1848.749953,524.5393056,current
,0.157044407,0,0.157044407,ssp1
,2187.485084,2187.485084,0,ssp1
,2538.888304,2538.888304,0,ssp1
,2623.552307,0,2623.552306,ssp1
,1771.901784,1771.901784,0,ssp1
,834.1213794,0,834.1213794,ssp1
,910.2710639,910.2710639,0,ssp1
,579.0565229,574.1060487,4.950474191,ssp1
,3.020396291,0,3.020396291,ssp1
,3118.680139,2398.587183,720.0929561,ssp1
,0.155116466,0,0.155116466,ssp2
,2613.743872,2613.743872,0,ssp2
,3099.368597,3099.368597,0,ssp2
,2540.816339,0,2540.81634,ssp2
,1800.45945,1800.45945,0,ssp2
,827.8993943,0,827.8993943,ssp2
,901.2439558,901.2439558,0,ssp2
,546.4645709,541.6050112,4.859559681,ssp2
,3.174774061,0,3.174774061,ssp2
,3131.888644,2428.000441,703.888203,ssp2
Togo,0.174891889,0,0.174891889,ssp5
Cameroon,1950.621356,1950.621356,0,ssp5
Nigeria,2689.598135,2689.598135,0,ssp5
Norway,2305.976029,0,2305.97603,ssp5
Zambia,1868.822585,1868.822585,0,ssp5
Kenya,861.0095228,0,861.0095228,ssp5
Bhutan,917.101613,917.101613,0,ssp5
France,625.2786135,620.2672639,5.011349586,ssp5
Portugal,3.133298877,0,3.133298877,ssp5
Ethiopia,3258.937946,2524.028794,734.909152,ssp5
