Country_name,show_Country_name,mag,log_mag,propchange,group,trend,Knowledge_funding,Mixed,Nodata,Post_invasion_management,Pre_invasion_management,Unspecified,sumsample,prop_post_mag
Japan,,250.6433986,2.400785542,1.251931806,ssp1,Positive,21,4,94,22,11,0,152,0.144736842
United Kingdom,,330.8582916,2.520952673,1.004804795,ssp1,Positive,9,5,14,21,0,0,49,0.428571429
France,,32.28370517,1.522231666,0.742281031,ssp1,Positive,8,0,0,2,1,0,11,0.181818182
Spain,,57.11141526,1.764261452,0.682165694,ssp1,Positive,1,0,0,17,0,0,18,0.944444444
Germany,,52.00173848,1.724290115,0.578522386,ssp1,Positive,0,0,9,9,0,0,18,0.5
Australia,Australia,494.8477973,2.695348388,0.64763013,ssp1,Positive,4,1,53,41,0,0,99,0.414141414
Chile,,77.75693968,1.896288832,0.483187788,ssp1,Positive,0,0,15,2,0,0,17,0.117647059
Thailand,Thailand,0,0,0.35739566,ssp1,Positive,0,0,5,6,0,0,11,0.545454545
India,India,18.49843636,1.289999785,0.305613024,ssp1,Positive,0,0,7,2,0,0,9,0.222222222
Malaysia,,4.607057236,0.748734989,0.262201619,ssp1,Positive,0,0,3,2,0,0,5,0.4
Brazil,,4.192343151,0.715363386,0.255839505,ssp1,Positive,0,0,3,4,0,0,7,0.571428571
Indonesia,Indonesia,2.163466334,0.500163217,0.244633252,ssp1,Positive,0,0,3,1,0,0,4,0.25
Cambodia,,0,0,0.237301217,ssp1,Positive,0,0,3,2,0,0,5,0.4
Mexico,,64.39405843,1.815538291,0.247728324,ssp1,Positive,3,1,2,5,0,1,12,0.416666667
Fiji,,18.16901408,1.282599776,0.209262374,ssp1,Positive,1,1,3,1,0,0,6,0.166666667
China,China,78.7018111,1.90146819,0.197099568,ssp1,Positive,17,0,11,1,0,0,29,0.034482759
Vietnam,Vietnam,4.724668196,0.75775032,0.175783678,ssp1,Positive,0,1,4,0,0,0,5,0
Peru,,8.058164757,0.957040216,0.154352466,ssp1,Positive,0,1,3,2,0,0,6,0.333333333
Italy,,16.95815254,1.254261656,0.150133295,ssp1,Positive,0,0,3,6,0,0,9,0.666666667
Singapore,,1.55,0.40654018,0.132305905,ssp1,Positive,0,0,3,1,0,0,4,0.25
New Zealand,,187.6586202,2.275676654,0.119995442,ssp1,Positive,9,0,5,11,0,0,25,0.44
Cuba,,11.70959052,1.104131559,0.115633493,ssp1,Positive,0,0,2,2,0,0,4,0.5
Zambia,,0,0,0.08451035,ssp1,Positive,0,0,2,0,0,0,2,0
Ghana,,0.077525451,0.032427537,0.084288782,ssp1,Positive,0,0,1,1,0,0,2,0.5
Laos,,2.950570692,0.596659838,0.06790152,ssp1,Positive,0,0,1,0,0,0,1,0
Myanmar,,0.518831878,0.181509704,0.067835978,ssp1,Positive,0,0,1,0,0,0,1,0
Philippines,Philippines,14.67100347,1.195096807,0.06309183,ssp1,Positive,0,0,4,1,0,0,5,0.2
Tanzania,,0,0,0.046851123,ssp1,Positive,0,0,2,1,0,0,3,0.333333333
Bhutan,,0,0,0.044637193,ssp1,Positive,0,0,1,0,0,0,1,0
Benin,,0,0,0.036121139,ssp1,Positive,0,0,1,1,0,0,2,0.5
Finland,,8.825595601,0.992358886,0.035266762,ssp1,Positive,0,1,0,0,0,0,1,0
Portugal,,7.357116705,0.922056467,0.033726815,ssp1,Positive,0,0,2,0,0,0,2,0
Lithuania,,1.494581749,0.396997741,0.029589469,ssp1,Positive,0,0,0,1,0,0,1,1
Canada,Canada,135.7108083,2.135802851,0.028412457,ssp1,Positive,0,1,8,1,0,0,10,0.1
Kenya,,14.2069378,1.18204177,0.028411353,ssp1,Positive,0,0,1,1,0,0,2,0.5
Timor-Leste,,0,0,0.024047488,ssp1,Positive,0,0,1,0,0,0,1,0
Togo,,0,0,0.019608444,ssp1,Positive,0,0,0,1,0,0,1,1
Austria,,3.50631769,0.653821806,0.015449466,ssp1,Positive,0,0,0,1,0,0,1,1
Malawi,,10.05239415,1.043456364,0.008148177,ssp1,Positive,0,0,2,0,0,0,2,0
Netherlands,,6.194383839,0.856993605,0.012550755,ssp1,Positive,0,0,2,2,0,0,4,0.5
Brunei,,0.910714286,0.281195751,0,ssp1,Negative,0,0,1,0,0,0,1,0
Cameroon,,0.558086158,0.192591469,0,ssp1,Negative,0,0,1,0,0,0,1,0
Democratic Republic of the Congo,,2.043153279,0.483323828,0,ssp1,Negative,0,0,1,0,0,0,1,0
Malta,,3,0.602059991,0,ssp1,Negative,0,0,0,1,0,0,1,1
Mozambique,,0,0,0,ssp1,Negative,0,0,1,0,0,0,1,0
Nigeria,,0,0,0,ssp1,Negative,0,0,1,0,0,0,1,0
Uganda,,0.829626789,0.26236251,0,ssp1,Negative,0,0,1,0,0,0,1,0
Zimbabwe,,1.014503589,0.304168045,0,ssp1,Negative,0,0,1,0,0,0,1,0
Sweden,,8.347050257,0.970674578,-0.000586675,ssp1,Negative,0,0,1,3,0,0,4,0.75
Colombia,,1.10692005,0.323648056,-0.001497424,ssp1,Negative,0,0,0,1,0,0,1,1
Ecuador,,0.566316059,0.194879401,-0.001497907,ssp1,Negative,0,0,0,1,0,0,1,1
Nicaragua,,0,0,-0.001500839,ssp1,Negative,0,0,0,1,0,0,1,1
Panama,,0,0,-0.001502065,ssp1,Negative,0,0,0,1,0,0,1,1
Suriname,,0.499419954,0.175923286,-0.001542283,ssp1,Negative,0,0,1,0,0,0,1,0
Uruguay,,2.075707547,0.487945038,-0.003020095,ssp1,Negative,0,0,1,1,0,0,2,0.5
