Country_name,pred_cost_mean
Argentina,8433.401384
Australia,26953.76991
Austria,483.0042537
Belize,1072.562703
Benin,585.6316178
Bhutan,936.9221861
Bolivia,2114.841631
Brazil,6237.790972
Brunei,647.8902627
Cambodia,5209.25957
Cameroon,2613.743872
Canada,52331.05458
Chile,2951.375975
China,41702.80353
Colombia,340.6743145
Cuba,1762.709974
Democratic Republic of the Congo,2347.599611
Denmark,15.60492485
Ecuador,262.7536262
Ethiopia,3131.15404
Fiji,53.14135753
Finland,9.370676415
France,539.4478913
Germany,1451.910373
Ghana,1054.502541
Guatemala,1830.474068
Iceland,10.39517991
India,26767.53324
Indonesia,6503.576361
Italy,101.2186
Japan,1223.42089
Kenya,818.5052665
Laos,1491.991983
Lithuania,0.918061597
Malawi,2552.645648
Malaysia,6052.486132
Malta,1.165773526
Mexico,4862.704773
Mozambique,2845.434629
Myanmar,1965.207219
Netherlands,118.8034577
New Zealand,4192.065311
Nicaragua,404.5111051
Nigeria,3099.368597
Norway,2522.870076
Pakistan,65.38041029
Panama,218.3607417
Paraguay,1966.008459
Peru,5387.354604
Philippines,8446.513882
Portugal,3.267844549
Singapore,3044.470156
Spain,155.4753949
Suriname,1092.500733
Sweden,146.5666552
Tanzania,2765.891059
Thailand,12388.01082
Timor-Leste,977.6170728
Togo,0.159966705
Uganda,2114.444716
United Kingdom,701.1144043
United States,259416.938
Uruguay,1657.445799
Venezuela,0.019851432
Vietnam,6202.835035
Zambia,1802.721205
Zimbabwe,1432.748853
