Country_name,pred_cost_mean
Argentina,8986.055299
Australia,26760.60962
Austria,476.1389937
Belize,1073.017523
Benin,585.6256368
Bhutan,897.023708
Bolivia,2115.730041
Brazil,5914.111339
Brunei,739.7907122
Cambodia,4968.870512
Cameroon,2613.743872
Canada,52595.04715
Chile,2945.420839
China,40993.83993
Colombia,340.813051
Cuba,1754.81279
Democratic Republic of the Congo,2347.599611
Denmark,15.73099928
Ecuador,262.8615128
Ethiopia,3132.986568
Fiji,51.40998661
Finland,9.066382736
France,531.5949415
Germany,1382.605732
Ghana,1053.122074
Guatemala,1831.240246
Iceland,10.52703378
India,26051.8676
Indonesia,6151.3484
Italy,100.8362474
Japan,1192.815684
Kenya,829.1446455
Laos,1405.029764
Lithuania,0.887840421
Malawi,2545.96948
Malaysia,5704.811036
Malta,1.165773526
Mexico,4609.388854
Mozambique,2845.434629
Myanmar,1850.689373
Netherlands,115.8351823
New Zealand,4144.451053
Nicaragua,404.6789319
Nigeria,3099.368597
Norway,2534.341271
Pakistan,65.7469172
Panama,218.4480416
Paraguay,1966.835832
Peru,5331.473683
Philippines,8354.14529
Portugal,3.168257412
Singapore,2964.752497
Spain,149.8614605
Suriname,1092.963052
Sweden,145.6508127
Tanzania,2750.849558
Thailand,11978.73182
Timor-Leste,954.00256
Togo,0.158649554
Uganda,2114.444716
United Kingdom,696.418693
United States,271310.6281
Uruguay,1658.169072
Venezuela,0.0241288
Vietnam,6011.35522
Zambia,1800.355718
Zimbabwe,1432.748853
